City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
616,Saint-Joseph,RE,70.16,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
618,Shahrud,IR,71.24,clear sky,36.4182,54.9763,Royal Hotel
624,North Vanlaiphai,IN,70.16,scattered clouds,23.1333,93.0667,VL Lungmuana In
627,Helong,CN,81.79,overcast clouds,42.5397,128.9972,Helong Hotel
630,College,US,74.86,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
631,Ciudad Bolivar,VE,80.92,broken clouds,8.1222,-63.5497,Hotel Edi
633,Bouna,CI,74.46,light rain,9.2667,-3.0,Hotel Reserve
635,Mapimi,MX,86.18,overcast clouds,25.8167,-103.85,Propiedad Lldm
636,Banes,CU,75.81,overcast clouds,20.9625,-75.7186,Hostal Iván y yailet
638,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
641,Antsohihy,MG,71.2,overcast clouds,-14.8796,47.9875,Hotel de Ville
643,Alugan,PH,84.15,clear sky,12.2188,125.4808,JM Lodge
644,Bauta,CU,78.69,few clouds,22.9828,-82.5464,El Refugio
645,Fare,PF,79.61,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
646,Sao Gabriel Da Cachoeira,BR,72.77,light rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
649,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
652,Sola,VU,80.35,scattered clouds,-13.8833,167.55,Leumerus Bungalows
653,Rio Branco,BR,74.01,few clouds,-9.9747,-67.81,João Paulo Hotel
654,Pangkalanbuun,ID,85.06,light rain,-2.6833,111.6167,Grand Kecubung Hotel
655,Marsh Harbour,BS,81.97,few clouds,26.5412,-77.0636,Abaco Beach Resort
656,Yeppoon,AU,71.38,overcast clouds,-23.1333,150.7333,Villa Mar Colina
658,Tevaitoa,PF,79.45,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
662,Santarem,BR,78.93,clear sky,-2.4431,-54.7083,Ecotur Lodge
663,Jind,IN,89.98,few clouds,29.3167,76.3167,Hotel Deep Palace
669,Melilla,ES,70.18,clear sky,35.2937,-2.9383,Hotel Nacional
670,Springdale,US,82.51,clear sky,36.1867,-94.1288,Springdale Inn
